timestamp,utilisateur,module,action,fichiers,scores,statut,message
2026-03-30 13:48:35,gael,systeme,OUVERTURE_SESSION,[],{},SUCCESS,Connexion reussie
2026-03-30 13:48:42,gael,donnees,APPLICATION_FILTRES,[],{},SUCCESS,Filtres appliques : Aucun (Toutes les donnees) (Volume restant : 475479)
2026-03-30 13:48:58,gael,infereur,LANCEMENT_DOUBLE_INFERENCE,"[""baseline_model.sav"", ""model_lags.sav""]",{},SUCCESS,Lancement de la double inference sur les modeles .sav
2026-03-30 13:49:06,gael,comparateur,COMPARAISON_GOLD,[],"{""Nouvel Algo"": 45.42111965921029, ""Ancien Algo"": 35.56899922937605}",SUCCESS,Comparaison reussie sur 96107 minutes communes.
2026-03-30 13:49:06,gael,rapport,GENERATION_RAPPORT_PDF,"[""baseline_model.sav"", ""model_lags.sav""]",{},SUCCESS,PDF genere pour le projet : Comparaison_Standard
