timestamp,utilisateur,module,action,fichiers,scores,statut,message
2026-03-30 11:04:01,gael,systeme,OUVERTURE_SESSION,[],{},SUCCESS,Connexion reussie
2026-03-30 11:04:30,gael,infereur,LANCEMENT_DOUBLE_INFERENCE,"[""baseline_model.sav"", ""model_lags.sav""]",{},SUCCESS,Lancement de la double inference sur les modeles .sav
2026-03-30 11:04:38,gael,comparateur,COMPARAISON_GOLD,[],"{""Nouvel Algo"": 41.514552612965275, ""Ancien Algo"": 33.7656045297758}",SUCCESS,Comparaison reussie sur 135475 minutes communes.
2026-03-30 11:04:38,gael,rapport,GENERATION_RAPPORT_PDF,"[""baseline_model.sav"", ""model_lags.sav""]",{},SUCCESS,PDF genere pour le projet : Comparaison_Standard
